### DATA ###
# |Veicoli| = 2
# time windows

data;

param fleet_dim := 2;	# numero puro

param twlb := 
	STOKEONTRENT	10 
	DERBY 			11
	EASTWOOD 		12
	MANSFIELD 		14
	SHEFFIELD 		15
	STOCKPORT 		0
	PRESTON 		10
	LIVERPOOL		11
	CHESTER 		13
	WARRINGTON		8
;
	
param twub :=
	STOKEONTRENT	14 
	DERBY 			15
	EASTWOOD 		14
	MANSFIELD 		16
	SHEFFIELD 		17
	STOCKPORT 		0
	PRESTON 		13
	LIVERPOOL		15
	CHESTER 		16
	WARRINGTON		12
;
	
param q :=
	STOKEONTRENT	500 
	DERBY 			500
	EASTWOOD 		500
	MANSFIELD 		500
	SHEFFIELD 		500
	STOCKPORT 		500
	PRESTON 		500
	LIVERPOOL		500
	CHESTER 		500
	WARRINGTON		500
;
